open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,upper_band,middle_band,lower_band,macd_line,signal_line,histogram,adx,plus_di,minus_di,rsi,cci,momentum,obv,mfi,stoch_k,stoch_d,cmf
2017-10-10,297.35,308.56,293.0,298.64,6749.27468,1507679999999,2028540.4729273,9392,3979.8636,1200692.0389299,322.52356821813237,294.4224999999999,266.32143178186743,1.9006721854765374,0.3424223822025,1.5582498032740375,28.680641410162366,16.34870286831296,27.573808563531106,50.935599284208756,43.210521878424686,-5.720000000000027,-15341.063919999999,52.030988638425605,55.370786516853904,63.595505617977516,0.09301493075041978
2017-10-11,300.88,305.5,298.02,304.01,3724.6863,1507766399999,1125331.5033572,4079,1923.79902,581977.2978289,319.26446424757995,296.7729999999999,274.28153575241987,2.095691923516995,0.693076290465399,1.402615633051596,28.457496430815233,15.928240358324611,26.86465427453662,53.008746788087436,53.422362114891456,0.060000000000002274,-11616.37762,50.7335343453438,67.43820224719099,58.307116104868896,0.12996709211980795
2017-10-12,304.01,310.0,302.71,303.99,7827.75596,1507852799999,2397065.1633671,4956,3436.20226,1053317.9715572,315.66856685001153,298.7724999999999,281.8764331499883,2.223007194933075,0.9990624713589342,1.2239447235741407,27.914173712096773,17.132039315538382,26.15855092158894,52.99976468491625,73.52650560742984,7.490000000000009,-19444.13358,51.66222411440944,67.39325842696631,63.40074906367041,0.06922280632632133
2017-10-13,303.52,353.96,297.0,337.96,17925.36585,1507939199999,5832987.2559101,9898,7538.17104,2469530.2629596,324.4510868178844,301.3739999999999,278.2969131821154,5.007279761484881,1.8007059293841237,3.2065738321007573,26.872014262565678,28.006720484553583,21.420999967007806,64.12037518677775,270.0674788696711,45.47999999999996,-1518.7677300000032,71.10129288812996,77.39474427804463,70.74206831740065,0.10442210225981559
2017-10-14,337.96,349.8,335.0,342.0,7731.96469,1508025599999,2655702.1145455,5703,3790.50687,1304246.7919927,331.788885299781,304.3739999999999,276.95911470021883,7.453906077028535,2.9313459589130058,4.522560118115528,25.904294773715375,26.655863460968547,20.38779408795436,65.17568902146745,298.9377457739634,50.00999999999999,6213.196959999997,72.78218461737194,83.10257134783839,75.96352468428312,0.11256351153773518
2017-10-15,342.0,348.0,316.17,337.96,10011.34708,1508111999999,3326752.5971166,6822,4957.44824,1652285.7219957,337.1844143705895,306.5509999999999,275.91758562941027,8.963554545593695,4.137787676249143,4.825766869344552,24.099345727717147,23.97727186295981,24.283733168403273,63.1746245042361,186.08909322353756,43.14999999999998,-3798.150120000003,67.78227919120063,77.39474427804463,79.29735330130923,0.11590075999620741
2017-10-16,337.5,354.0,332.78,335.19,8663.47097,1508198399999,2956522.0417874,6586,4424.03339,1511172.9129401,340.70400639775636,308.9154999999999,277.12699360224343,9.823210131556834,5.274872167310681,4.548337964246153,22.624119299189488,24.26648229397608,22.649669266241386,61.77418115730693,178.03315289279826,24.389999999999986,-12461.621090000004,73.79198168933446,73.43970629765602,77.97900730784636,0.08363879814618327
2017-10-17,335.18,336.58,312.65,315.19,8146.74356,1508284799999,2638150.8892904,6837,3297.06736,1069520.4162513,341.0933290846568,309.1879999999999,277.282670915343,8.789342455242377,5.97776622489702,2.8115762303453566,21.706270244727907,22.433209870353586,27.293626489304458,52.69178044374876,65.02850228026794,4.180000000000007,-20608.364650000003,71.28513648915941,43.31824156564921,64.71756404711662,-0.0010027435891115026
2017-10-18,315.19,318.0,284.68,309.7,12908.0454,1508371199999,3915770.1544675,9801,6592.08304,2005598.3141489,341.30581500497783,309.5509999999999,277.7961849950219,7.4412200027995254,6.270456980477521,1.1707630223220047,21.888574705424535,20.150489289590272,33.05811626411254,50.49702329735801,-24.17578463349459,-1.3700000000000045,-33516.410050000006,61.50888238852404,36.09347951529138,50.95047579286555,0.05995059177968817
2017-10-19,311.52,315.0,300.0,308.66,8678.74739,1508457599999,2675399.8602425,6769,4110.58984,1269506.2481589,341.1260747080732,310.3729999999999,279.61992529192656,6.217235517235451,6.259812687829107,-0.04257717059365529,22.057857418928545,19.203151643062984,31.503950625244002,50.07154222556569,-10.00145039949034,11.470000000000027,-42195.15744000001,66.37603916490198,34.59319099826893,38.00163735973652,0.04963719099699926
